종목코드	종목명
222980	한국맥널티
003680	한성기업
005860	한일사료
002680	한탑
101530	해태제과식품
189980	흥국에프엔비
027410	BGF리테일
051500	CJ프레시웨이
007070	GS리테일
026960	동서
139480	이마트
005440	현대그린푸드
227840	현대씨앤에프
078930	GS
018670	SK가스
096770	SK이노베이션
010950	S-Oil
003650	미창석유
023430	아이이
065420	에스아이리소스
137950	제이씨케미칼
000440	중앙에너비스
004650	창해에탄올
012170	키위미디어그룹
053620	태양
002960	한국쉘석유
024060	흥구석유
023460	CNH
241520	DSC인베스트먼트
001500	HMC투자증권
021960	KB캐피탈
030210	KTB투자증권
005940	NH투자증권
034310	NICE
030190	NICE평가정보
019550	SBI인베스트먼트
036120	SCI평가정보
001510	SK증권
001290	골든브릿지증권
030610	교보증권
019660	글로본
032190	다우데이타
027830	대성창투
003540	대신증권
016610	동부증권
088980	맥쿼리인프라
138040	메리츠금융지주
008560	메리츠종금증권
021880	메이슨캐피탈
006800	미래에셋대우
001270	부국증권
016360	삼성증권
029780	삼성카드
001720	신영증권
033660	아주캐피탈
021080	에이티넘인베스트
019590	엠벤처투자
041190	우리기술투자
010050	우리종금
078070	유비쿼스
078070	유비쿼스홀딩스
003470	유안타증권
001200	유진투자증권
003460	유화증권
078020	이베스트투자증권
019570	제미니투자
016600	큐캐피탈
039490	키움증권
246690	티에스인베스트먼트
038160	팍스넷
071050	한국금융지주
034950	한국기업평가
023760	한국캐피탈
000240	한국타이어월드와이드
001750	한양증권
003530	한화투자증권
002550	KB손해보험
005830	동부화재
082640	동양생명
000400	롯데손해보험
000060	메리츠화재
085620	미래에셋생명
032830	삼성생명
000810	삼성화재
003690	코리안리
088350	한화생명
000370	한화손해보험
001450	현대해상
000540	흥국화재
210980	SK디앤디
140910	광희리츠
013120	동원개발
204210	모두투어리츠
015020	이스타코
145270	케이탑리츠
140890	트러스제7호
123890	한국자산신탁
034830	한국토지신탁
034810	해성산업
138930	BNK금융지주
139130	DGB금융지주
175330	JB금융지주
105560	KB금융
192530	광주은행
024110	기업은행
055550	신한지주
000030	우리은행
006220	제주은행
007330	푸른저축은행
086790	하나금융지주
142280	녹십자엠에스
145720	덴티움
131030	디에이치피코리아
039840	디오
228850	레이언스
085370	루트로닉
041920	메디아나
078160	메디포스트
059210	메타바이오메드
058110	멕아이씨에스
206640	바디텍메드
043150	바텍
100120	뷰웍스
032850	비트컴퓨터
008490	서흥
100700	세운메디칼
049180	셀루메드
043100	솔고바이오
035610	솔본
004080	신흥
115480	씨유메디칼
246720	아스타
099190	아이센스
048260	오스템임플란트
118000	우리들휴브레인
032940	원익
039790	위노바
032620	유비케어
056090	유앤아이
041830	인바디
119610	인터로조
150840	인트로메딕
071200	인피니트헬스케어
085660	차바이오텍
083550	케이엠
104540	코렌텍
060280	큐렉소
241820	피씨엘
149980	하이로닉
065510	휴비츠
084110	휴온스글로벌
058820	CMG제약
234080	JW생명과학
067290	JW신약
001060	JW중외제약
096760	JW홀딩스
114450	KPX생명과학
217730	강스템바이오텍
053950	경남제약
011040	경동제약
214390	경보제약
014570	고려제약
009290	광동제약
002720	국제약품
039860	나노엔텍
138610	나이벡
168330	내츄럴엔도텍
006280	녹십자
144510	녹십자랩셀
005250	녹십자홀딩스
036480	대성미생물
003090	대웅
069620	대웅제약
003220	대원제약
054670	대한뉴팜
023910	대한약품
067080	대화제약
086450	동국제약
002210	동성제약
000640	동아쏘시오홀딩스
170900	동아에스티
000020	동화약품
127120	디엔에이링크
084650	랩지노믹스
141080	레고켐바이오
238120	로고스바이오
038290	마크로젠
086900	메디톡스
140410	메지온
017180	명문제약
053030	바이넥스
084990	바이로메드
064550	바이오니아
142760	바이오리더스
086040	바이오톡스텍
003850	보령제약
003000	부광약품
200780	비씨월드제약
207940	삼성바이오로직스
001360	삼성제약
009300	삼아제약
000520	삼일제약
005500	삼진제약
000250	삼천당제약
038070	서린바이오
018680	서울제약
068270	셀트리온
068760	셀트리온제약
003060	슈넬생명과학
215600	신라젠
002800	신신제약
012790	신일제약
019170	신풍제약
049960	쎌바이오텍
096530	씨젠
047920	씨트리
060590	씨티씨바이오
092040	아미코젠
185490	아이진
001540	안국약품
065660	안트로젠
002250	알보젠코리아
196170	알테오젠
196300	애니젠
041910	에스텍파마
237690	에스티팜
182400	에이티젠
180400	엠지메드
036180	영인프런티어
003520	영진약품
002630	오리엔트바이오
039200	오스코텍
004720	우리들제약
018620	우진비앤지
033270	유나이티드제약
206650	유바이오로직스
000220	유유제약
000100	유한양행
044960	이-글 벳
086890	이수앱지스
102460	이연제약
048530	인트론바이오
249420	일동제약
000230	일동홀딩스
003120	일성신약
007570	일양약품
095700	제넥신
052670	제일바이오
002620	제일약품
034940	조아제약
185750	종근당
063160	종근당바이오
001630	종근당홀딩스
072020	중앙백신
204840	지엘팜텍
109820	진매트릭스
007370	진양제약
214370	케어젠
041960	코미팜
166480	코아스템
102940	코오롱생명과학
115180	큐리언트
083790	크리스탈
191420	테고사이언스
066700	테라젠이텍스
214450	파마리서치프로덕트
005690	파미셀
043090	팜스웰바이오
222110	팬젠
087010	펩트론
220100	퓨쳐켐
203690	프로스테믹스
106190	하이텍팜
002390	한독
008930	한미사이언스
128940	한미약품
042520	한스바이오메드
009420	한올바이오파마
004310	현대약품
061250	화일약품
016580	환인제약
200670	휴메딕스
243070	휴온스
145020	휴젤
032040	C&S자산관리
058850	KTcs
049720	고려신용정보
130580	나이스디앤비
073190	디비케이
187220	디티앤씨
067730	로지시스
005360	모나미
007120	미래아이앤지
143240	사람인에이치알
030960	양지사
012750	에스원
072990	에이치시티
067630	에이치엘비생명과학
063440	에프엔씨애드컬쳐
032790	엠젠플러스
050540	엠피씨
046120	오르비텍
067900	와이엔텍
060150	인선이엔티
043910	자연과환경
058860	케이티스
071950	코아스
029960	코엔텍
134790	팀스
016800	퍼시스
060900	퍼시픽바이오
063570	한국전자금융
021650	한국큐빅
051600	한전KPS
077280	한컴지엠디
037440	희림
068400	AJ렌터카
000120	CJ대한통운
009070	KCTC
044450	KSS해운
040610	SG&G
052300	W홀딩컴퍼니
001140	국보
003490	대한항공
005880	대한해운
004140	동방
083350	동북아10호
083360	동북아11호
083370	동북아12호
083380	동북아13호
083390	동북아14호
084670	동양고속
038390	레드캡투어
155900	바다로19호
032280	삼일
003100	선광
004360	세방
039310	세중
083570	아시아10호
083580	아시아11호
083590	아시아12호
083600	아시아13호
083610	아시아14호
083620	아시아15호
020560	아시아나항공
024800	유성티엔에스
000700	유수홀딩스
129260	인터지스
089590	제주항공
000650	천일고속
090970	코리아01호
090980	코리아02호
090990	코리아03호
091000	코리아04호
028670	팬오션
172580	하이골드12호
153360	하이골드3호
005430	한국공항
009180	한솔로지스틱스
014130	한익스프레스
002320	한진
180640	한진칼
086280	현대글로비스
011200	현대상선
003280	흥아해운
095570	AJ네트웍스
001040	CJ
083660	CSA 코스믹
000590	CS홀딩스
069730	DSR제강
006360	GS건설
001250	GS글로벌
002380	KCC
021320	KCC건설
009440	KC그린홀딩스
119650	KC코트렐
044180	KD건설
060370	KT서브마린
003550	LG
001120	LG상사
108670	LG하우시스
079550	LIG넥스원
006260	LS
010120	LS산전
229640	LS전선아시아
100840	S&TC
003570	S&T중공업
099220	SDN
009160	SIMPAC
034730	SK
001740	SK네트웍스
011810	STX
077970	STX엔진
071970	STX중공업
089230	THE E&M
048770	TPC
000500	가온전선
009450	경동나비엔
013580	계룡건설
004200	고려개발
014200	광림
017040	광명전기
006050	국영지앤엠
002990	금호산업
001210	금호전기
036190	금화피에스시
092440	기신정기
013700	까뮤이앤씨
051490	나라엠앤디
007460	나라케이아이씨
001260	남광토건
091590	남화토건
085910	네오티스
089140	넥스턴
069140	누리플랜
126870	뉴로스
060260	뉴보텍
068240	다원시스
015590	대경기계
000490	대동공업
005750	대림B&Co
000210	대림산업
006570	대림통상
108380	대양전기공업
047040	대우건설
042660	대우조선해양
006340	대원전선
015230	대창단조
096350	대창솔루션
001440	대한전선
002150	도화엔지니어링
100130	동국S&C
099410	동방선기
005960	동부건설
045890	동부라이텍
025950	동신건설
028100	동아지질
002900	동양물산
079960	동양이엔피
104460	동양피엔에프
000150	두산
011160	두산건설
241560	두산밥캣
082740	두산엔진
042670	두산인프라코어
034020	두산중공업
090710	디에스티로봇
101000	디엠씨
013570	디와이
210540	디와이파워
105740	디케이락
171120	라이온켐텍
001080	만호제강
141070	맥스로텍
033200	모아텍
002410	범양건영
007210	벽산
006910	보성파워텍
008470	부스타
083650	비에이치아이
086670	비엠티
082920	비츠로셀
042370	비츠로테크
065450	빅텍
018310	삼목에스폼
001470	삼부토건
028260	삼성물산
028050	삼성엔지니어링
010140	삼성중공업
002810	삼영무역
054540	삼영엠텍
073640	삼원테크
004380	삼익THK
002290	삼일기업공사
001880	삼호
010960	삼호개발
091580	상신이디피
100660	서암기계공업
027040	서울전자통신
189860	서전기전
011370	서한
065710	서호전기
035890	서희건설
007610	선도전기
014620	성광벤드
037350	성도이엔지
005980	성지건설
017510	세명전기
011560	세보엠이씨
091090	세원셀론텍
075580	세진중공업
095300	세한엔에스브이
145210	세화아이엠씨
154040	솔루에타
017550	수산중공업
084180	수성
099440	스맥
013810	스페코
020710	시공테크
065350	신성델타테크
034300	신세계건설
017000	신원종합개발
005450	신한
051170	썬코어
099320	쎄트렉아이
112610	씨에스윈드
115530	씨엔플러스
050860	아세아텍
067390	아스트
122900	아이마켓코리아
010780	아이에스동서
001780	알루코
061040	알에프텍
019990	에너토크
041440	에버다임
103230	에스앤더블류
007820	에스엠코어
109610	에스와이패널
058610	에스피지
043340	에쎈테크
023960	에쓰씨엔지니어링
071670	에이테크솔루션
065160	에프티이앤이
054940	엑사이엔씨
217820	엔에스
085310	엔케이
007530	영신금속
036560	영풍정밀
014940	오리엔탈정공
067170	오텍
019210	와이지-원
079000	와토스코리아
037400	우리조명
101170	우림기계
046940	우원개발
049800	우진플라임
016880	웅진
014190	원익큐브
114190	웰크론강원
076080	웰크론한텍
018000	유니슨
054930	유신
011690	유양디앤유
195990	유지인트
039020	이건창호
054210	이랜텍
074610	이엔쓰리
095190	이엠코리아
058530	이큐스앤자루
016250	이테크건설
001840	이화공영
024810	이화전기
158310	인터불스
101930	인화정공
013360	일성건설
068330	일신바이오
081000	일진다이아
103590	일진전기
094820	일진파워
015860	일진홀딩스
022220	정산애강
147830	제룡산업
033100	제룡전기
054950	제이브이엠
126880	제이엔케이히터
001560	제일연마
044060	조광ILI
000480	조선내화
054180	중앙오션
119850	지엔씨에너지
036890	진성티이씨
002780	진흥기업
016920	카스
073010	케이에스피
064820	케이프
024880	케이피에프
054410	케이피티
101670	코리아에스이
049430	코메론
002020	코오롱
003070	코오롱글로벌
045520	크린앤사이언스
023160	태광
009410	태영건설
044490	태웅
026150	특수건설
033540	파라텍
043200	파루
054300	팬스타엔터프라이즈
010820	퍼스텍
119500	포메탈
047050	포스코대우
035200	프럼파스트
053160	프리엠스
131390	피앤이솔루션
002230	피에스텍
137400	피엔티
033180	필룩스
024660	하림홀딩스
013030	하이록코리아
221840	하이즈항공
010040	한국내화
025540	한국단자
002000	한국유리
101680	한국정밀기계
023350	한국종합기술
000970	한국주철관
047810	한국항공우주
014790	한라
053690	한미글로벌
099660	한솔신텍
004960	한신공영
011700	한신기계
123840	한일진공
052690	한전기술
097230	한진중공업
000880	한화
012450	한화테크윈
102210	해덕파워웨이
000720	현대건설
064350	현대로템
010620	현대미포조선
012630	현대산업
011760	현대상사
017800	현대엘리베이
009540	현대중공업
053660	현진소재
003010	혜인
039610	화성
002460	화성산업
010660	화천기계
000850	화천기공
010240	흥국
054620	AP시스템
068790	DMS
083450	GST
078150	HB테크놀러지
095340	ISC
092220	KEC
083470	KJ프리텍
052900	KMH하이텍
036540	SFA반도체
057500	SKC 솔믹스
000660	SK하이닉스
089890	고려반도체
098460	고영
017900	광전자
049080	기가레인
101400	네오피델리티
033640	네패스
087730	네패스신소재
110570	넥솔론
092600	넥스트칩
144960	뉴파워프라즈마
093640	다믈멀티미디어
077360	덕산하이메탈
000990	동부하이텍
094170	동운아나텍
066670	디스플레이텍
003160	디아이
196490	디에이테크놀로지
079810	디이엔티
171010	램테크놀러지
047440	레이젠
071280	로체시스템즈
038060	루멘스
082800	루미마이크로
058470	리노공업
197210	리드
098120	마이크로컨텍솔
147760	마이크로프랜드
127160	매직마이크로
096640	멜파스
025560	미래산업
049950	미래컴퍼니
059090	미코
177350	베셀
066980	브레인콘텐츠
141000	비아트론
058370	비엔씨컴퍼니
072950	빛샘전자
054090	삼진엘앤디
046890	서울반도체
045300	성우테크론
214310	세미콘라이트
067770	세진티에스
033170	시그네틱스
011930	신성솔라에너지
108320	실리콘웍스
222800	심텍
036710	심텍홀딩스
160980	싸이맥스
136510	쎄미시스코
036170	씨티엘
123860	아나패스
083930	아바코
040910	아이씨디
052860	아이앤씨
038880	아이에이
114810	아이원스
119830	아이텍반도체
059120	아진엑스텍
096610	알에프세미
117670	알파홀딩스
102120	어보브반도체
101490	에스앤에스텍
095910	에스에너지
160600	에스엔텍
039440	에스티아이
054630	에이디칩스
200710	에이디테크놀로지
089530	에이티세미콘
073570	에이티테크놀러지
043580	에임하이
036810	에프에스티
083500	에프엔에스테크
092870	엑시콘
096870	엘디티
061970	엘비세미콘
138690	엘아이에스
073110	엘엠에스
083310	엘오티베큠
033160	엠케이전자
143540	영우디에스피
122640	예스티
080520	오디텍
052420	오성엘에스티
241790	오션브릿지
080580	오킨스전자
153490	우리이앤엘
082850	우리이티아이
103130	웅진에너지
240810	원익IPS
074600	원익QnC
030530	원익홀딩스
101160	월덱스
036090	위지트
097800	윈팩
036200	유니셈
077500	유니퀘스트
086390	유니테스트
084370	유진테크
178780	유테크
088390	이녹스
041520	이라이콤
115610	이미지스
094190	이엘케이
063760	이엘피
039030	이오테크닉스
079950	인베니아
064290	인텍플러스
020760	일진디스플
217190	제너셈
079370	제우스
090470	제이스텍
033050	제이엠아이
089790	제이티
080220	제주반도체
082270	젬백스
041590	젬백스테크놀러지
036930	주성엔지니어링
114570	지스마트글로벌
009310	참엔지니어링
029460	케이씨텍
080530	코디
224060	코디엠
183300	코미코
048870	코아로직
038530	코아크로스
051780	큐로홀딩스
066310	큐에스아이
065130	탑엔지니어링
123100	테라세미콘
095610	테스
131970	테스나
089030	테크윙
054450	텔레칩스
108230	톱텍
064760	티씨케이
062860	티엘아이
047310	파워로직스
106240	파인테크닉스
131760	파인텍
039230	폭스브레인
053610	프로텍
032580	피델릭스
024850	피에스엠씨
031980	피에스케이
087600	픽셀플러스
067310	하나마이크론
200470	하이셈
006200	한국전자홀딩스
042700	한미반도체
004710	한솔테크닉스
078350	한양디지텍
045100	한양이엔지
195870	해성디에스
050090	휘닉스소재
046440	KG모빌리언스
035600	KG이니시스
036030	KTH
086960	MDS테크
035420	NAVER
181710	NHN엔터테인먼트
060250	NHN한국사이버결제
046140	SBS콘텐츠허브
049470	SGA
184230	SGA솔루션즈
079940	가비아
094480	갤럭시아컴즈
063080	게임빌
215000	골프존
036800	나이스정보통신
072770	네오디안테크놀로지
095660	네오위즈게임즈
042420	네오위즈홀딩스
153460	네이블
139670	넥스트리밍
041140	넥슨지티
040160	누리텔레콤
222810	닉스테크
119860	다나와
064260	다날
023590	다우기술
020120	다우인큐브
020180	대신정보통신
192080	더블유게임즈
012510	더존비즈온
194480	데브시스터즈
012030	동부
030790	동양네트웍스
030350	드래곤플라이
042510	라온시큐어
042500	링네트
065650	메디프론
100030	모바일리더
213090	미래테크놀로지
201490	미투온
214180	민앤지
035620	바른손이앤에이
029480	바른테크놀로지
036620	버추얼텍
104200	벅스
026260	보타바이오
064480	브리지텍
018260	삼성에스디에스
123420	선데이토즈
108860	셀바스AI
050960	수산아이앤티
131090	시큐브
035510	신세계 I&C
010280	쌍용정보통신
208640	썸에이지
099830	씨그널엔터테인먼트그룹
127710	아시아경제
078860	아이오케이
039570	아이콘트롤스
052460	아이크래프트
124500	아이티센
067160	아프리카TV
053800	안랩
131370	알서포트
085810	알티캐스트
205500	액션스퀘어
052790	액토즈소프트
038680	에스넷
205100	엑셈
036570	엔씨소프트
208860	엔지스테크널러지
206400	엔터메이트
069410	엔텔스
058630	엠게임
053980	오상자이엘
049480	오픈베이스
057680	옴니텔
052770	와이디온라인
069080	웹젠
112040	위메이드
038620	위즈코프
136540	윈스
089850	유비벨록스
072130	유엔젤
067920	이글루시큐리티
053350	이니텍
065440	이루온
080010	이상네트웍스
047560	이스트소프트
052190	이에스에이
090850	이지웰페어
092130	이크레더블
096040	이트론
033230	인성정보
115310	인포바인
039290	인포뱅크
041020	인프라웨어
045510	정원엔시스
101730	조이맥스
067000	조이시티
051160	지어소프트
115450	지트리비앤티
111820	처음앤씨
035720	카카오
078340	컴투스
192250	케이사인
115500	케이씨에스
039420	케이엘넷
094860	코닉글로리
040350	큐로컴
065560	큐브스
078000	텔코웨어
045340	토탈소프트
079970	투비소프트
052290	트레이스
150900	파수닷컴
194510	파티게임즈
022100	포스코 ICT
189690	포시에스
195440	퓨전데이터
075130	플랜티넷
023770	플레이위드
064800	필링크
041460	한국전자인증
053300	한국정보인증
025770	한국정보통신
030520	한글과컴퓨터
052600	한네트
047080	한빛소프트
010420	한솔PNS
081970	한솔넥스지
070590	한솔인티큐브
046110	한일네트웍스
054920	한컴시큐어
026180	현대정보기술
094280	효성ITX
060310	3S
211270	AP위성
065770	CS
079190	EMW
099520	ITX엠투엠
060720	KH바텍
034220	LG디스플레이
011070	LG이노텍
051390	YW
192410	감마누
139050	경봉
035460	기산텔레콤
151910	나노스
051980	넥스트바이오홀딩스
137940	넥스트아이
031390	녹십자셀
012340	뉴인텍
085670	뉴프렉스
039560	다산네트웍스
004130	대덕GDS
008060	대덕전자
008110	대동전자
007720	대명코퍼레이션
045390	대아티아이
078600	대주전자재료
065690	대진디엠피
131220	대한과학
010170	대한광통신
088130	동아엘텍
032960	동일기연
109740	디에스케이
066900	디에이피
134580	디엠티
043360	디지아이
106520	디지탈옵틱
026890	디피씨
131180	딜리
060300	레드로버
090360	로보스타
042940	르네코
039980	리노스
038340	리젠
035480	마제스타
093520	매커스
080420	모다이노칩
149940	모다정보통신
101330	모베이스
064520	바른전자
208710	바이오로그디바이스
038460	바이오스마트
033560	블루콤
090460	비에이치
054220	비츠로시스
093190	빅솔론
069540	빛과전자
123260	사파이어테크놀로지
111870	삼본정밀전자
006400	삼성SDI
009150	삼성전기
005930	삼성전자
065570	삼영이엔씨
005680	삼영전자
082660	삼우엠스
037460	삼지전자
009470	삼화전기
011230	삼화전자
001820	삼화콘덴서
089980	상아프론테크
042600	새로닉스
043710	서울리거
093920	서원인텍
178320	서진시스템
140070	서플러스글로벌
033790	서화정보통신
081580	성우전자
043260	성호전자
121800	세븐스타웍스
053450	세코닉스
032680	소프트센
070300	솔라시아
236200	슈프리마
094840	슈프리마에이치큐
192440	슈피겐코리아
028040	스페로 글로벌
025320	시노펙스
029530	신도리코
086830	신양오라컴
187270	신화콘텍
004770	써니전자
050890	쏠리드
004920	씨아이테크
052710	아모텍
149950	아바텍
036010	아비코전자
143160	아이디스
054800	아이디스홀딩스
214430	아이쓰리시스템
068940	아이씨케이
101390	아이엠
226350	아이엠텍
031310	아이즈비전
059100	아이컴포넌트
148250	알엔투테크놀로지
007630	암니스
131400	액트
121890	에스디시스템
097780	에스맥
042110	에스씨디
050320	에스아이티글로벌
031330	에스에이엠티
060540	에스에이티
056190	에스에프에이
080000	에스엔유
080440	에스제이케이
096630	에스코넥
088800	에이스테크
176440	에이치엔티
043220	에이치엘비파워
044780	에이치케이
045660	에이텍
224110	에이텍티앤
109960	에이프로젠 H&G
214870	에치디프로
073540	에프알텍
054340	엔알케이
066970	엘앤에프
037950	엘컴텍
097520	엠씨넥스
